Characteristics,Q1 (<1.07),Q2 (1.07-<1.14),Q3 (1.14-<1.24),Q4 (>=1.24),P value
N,1156,1169,1148,1141,
"Age, years",59.2 ± 9.3,59.1 ± 9.4,59.8 ± 9.9,59.4 ± 9.8,0.366
"Male, no. (%)",509 (44.0),541 (46.3),535 (46.6),514 (45.0),0.583
"BMI, kg/m2",24.3 ± 4.1,23.8 ± 3.8,23.1 ± 3.7,23.2 ± 3.8,<0.001
"Systolic BP, mmHg",131.1 ± 21.8,130.0 ± 21.5,127.9 ± 20.9,128.8 ± 21.5,0.003
"Diastolic BP, mmHg",76.2 ± 12.3,76.0 ± 12.2,74.0 ± 11.6,74.3 ± 12.3,<0.001
"Married, no. (%)",1020 (88.2),1023 (87.5),998 (86.9),995 (87.2),0.803
"Drinker, no. (%)",461 (39.9),409 (35.0),432 (37.6),457 (40.1),0.040
"Smoker, no. (%)",461 (39.9),429 (36.7),453 (39.5),406 (35.6),0.092
"Education, no. (%)",,,,,0.004
  Less than lower secondary,1048 (90.7),1065 (91.1),1067 (92.9),1041 (91.2),
  Upper secondary/vocational,98 (8.5),97 (8.3),74 (6.4),78 (6.8),
  College or above,10 (0.9),7 (0.6),7 (0.6),22 (1.9),
"Urban residence, no. (%)",417 (36.1),360 (30.8),378 (32.9),408 (35.8),0.021
"Agricultural hukou, no. (%)",944 (81.7),1008 (86.2),1009 (87.9),926 (81.2),<0.001
Depressive symptoms score,8.6 ± 6.5,8.5 ± 6.3,8.2 ± 6.2,8.8 ± 6.2,0.071
"Chronic diseases, no. (%)",,,,,
  Hypertension,362 (31.3),346 (29.6),303 (26.4),299 (26.2),0.014
  Diabetes,84 (7.3),87 (7.4),62 (5.4),75 (6.6),0.199
  Cancer,9 (0.8),9 (0.8),15 (1.3),12 (1.1),0.502
  Chronic lung disease,113 (9.8),132 (11.3),148 (12.9),168 (14.7),0.002
  Heart disease,227 (19.6),157 (13.4),118 (10.3),156 (13.7),<0.001
  Stroke,26 (2.2),33 (2.8),30 (2.6),32 (2.8),0.798
  Dyslipidemia,142 (12.3),139 (11.9),117 (10.2),122 (10.7),0.304
  Liver disease,51 (4.4),37 (3.2),36 (3.1),42 (3.7),0.317
  Digestive disease,310 (26.8),294 (25.1),309 (26.9),309 (27.1),0.678
  Arthritis or rheumatism,455 (39.4),429 (36.7),437 (38.1),468 (41.0),0.136
Laboratory and kidney-function results,,,,,
"eGFRcr-cys 2011, ml/min per 1.73 m2",88.6 ± 16.0,86.9 ± 16.7,83.9 ± 17.8,83.6 ± 17.8,<0.001
"eGFRcr-cys 2015, ml/min per 1.73 m2",92.7 ± 16.7,89.1 ± 18.1,88.3 ± 19.8,86.7 ± 18.2,<0.001
"Annualized eGFRcr-cys loss, ml/min per 1.73 m2/year",-1.0 ± 3.3,-0.5 ± 3.6,-1.1 ± 3.6,-0.8 ± 3.2,<0.001
"Rapid eGFR decline, no. (%)",45 (3.9),78 (6.7),70 (6.1),48 (4.2),0.004
"CKD progression, no. (%)",10 (0.9),25 (2.1),32 (2.8),15 (1.3),0.002
"Hemoglobin, g/dL",14.7 ± 2.5,14.3 ± 2.1,14.1 ± 1.9,14.0 ± 1.9,<0.001
"Glucose, mg/dL",110.5 ± 34.9,109.3 ± 32.4,109.3 ± 32.3,110.8 ± 38.6,0.653
"Hemoglobin A1c, %",5.3 ± 0.8,5.3 ± 0.7,5.3 ± 0.8,5.3 ± 0.8,0.927
"Total cholesterol, mg/dL",194.9 ± 38.6,192.5 ± 37.8,193.9 ± 40.4,192.6 ± 38.2,0.423
"Triglycerides, mg/dL",134.2 ± 100.1,130.5 ± 89.3,128.7 ± 104.3,135.8 ± 107.6,0.309
"HDL cholesterol, mg/dL",50.2 ± 15.2,50.6 ± 14.0,51.0 ± 15.1,51.3 ± 15.6,0.303
"LDL cholesterol, mg/dL",117.9 ± 35.0,117.3 ± 35.1,117.7 ± 36.8,115.0 ± 34.4,0.176
"High-sensitivity CRP, mg/L",2.3 ± 5.0,2.4 ± 6.1,2.4 ± 6.5,2.7 ± 6.5,0.451
"Uric acid, mg/dL",4.1 ± 1.1,4.3 ± 1.2,4.6 ± 1.3,4.6 ± 1.3,<0.001
"Soil toxic metal concentrations, median (IQR)",,,,,
As,20.73 (20.35-22.40),21.66 (20.40-23.87),24.65 (22.36-29.67),27.80 (24.94-28.37),<0.001
Cd,1.05 (1.04-1.06),1.10 (1.08-1.12),1.19 (1.16-1.21),1.42 (1.29-1.56),<0.001
Co,40.49 (40.36-41.40),40.55 (40.36-40.94),40.56 (40.22-40.99),40.31 (40.19-40.50),<0.001
Cr,103.65 (102.13-104.76),106.34 (104.54-113.76),108.26 (104.83-127.09),111.15 (104.63-119.92),<0.001
Cu,92.65 (91.92-95.49),93.59 (92.52-97.46),96.29 (94.65-100.02),98.15 (94.64-109.20),<0.001
Ni,53.88 (51.79-63.47),53.49 (52.18-55.60),54.17 (52.26-63.21),53.18 (52.16-56.11),<0.001
Pb,102.67 (101.29-104.65),107.76 (105.55-111.89),115.26 (109.65-118.89),124.02 (110.43-130.74),<0.001
