outcome,metal,n,beta,ci_low,ci_high,p_value
eGFR_cr_cys_2011,As,6879,-2.728828929271546,-3.070412489640446,-2.387245368902646,2.5299857793486018e-54
eGFR_cr_cys_2011,Cd,6879,-1.930832931636128,-2.2705610455432748,-1.591104817728981,1.4132099103958447e-28
eGFR_cr_cys_2011,Co,6879,-0.11670134873314542,-0.4405688240421672,0.20716612657587635,0.48005042693247313
eGFR_cr_cys_2011,Cr,6879,-1.3845855471849677,-1.7158668191088906,-1.0533042752610449,3.043630229325027e-16
eGFR_cr_cys_2011,Cu,6879,-1.139594732745994,-1.496758778158429,-0.7824306873335591,4.248327646273624e-10
eGFR_cr_cys_2011,Ni,6879,0.7556839729221907,0.4115869035406474,1.099781042303734,1.6974506408464395e-05
eGFR_cr_cys_2011,Pb,6879,-2.348046799292437,-2.704758122956192,-1.9913354756286823,1.202978536851802e-37
eGFR_cr_cys_2015,As,7874,-1.647823062952228,-1.9809064612773917,-1.3147396646270642,4.149616583977716e-22
eGFR_cr_cys_2015,Cd,7874,-2.1222370689541754,-2.45373581656706,-1.7907383213412906,8.984895001428949e-36
eGFR_cr_cys_2015,Co,7874,0.4643328345430209,0.14592574166758276,0.782739927418459,0.004270820955705185
eGFR_cr_cys_2015,Cr,7874,-1.3268576062094102,-1.6486802764463813,-1.005034935972439,7.383093212658589e-16
eGFR_cr_cys_2015,Cu,7874,-1.0243813640400403,-1.3679236196626747,-0.6808391084174059,5.287902739776318e-09
eGFR_cr_cys_2015,Ni,7874,-0.09121500652415349,-0.4299316797415808,0.24750166669327384,0.5976392163691473
eGFR_cr_cys_2015,Pb,7874,-1.8214181567931607,-2.167943269337426,-1.4748930442488954,9.885637850813461e-25
