Characteristic,Included,Excluded,P value
N,4550,21323,
"Age, years",59.4 ± 9.6,58.2 ± 10.4,<0.001
"Male, no. (%)",2073 (45.6),10261 (48.1),0.002
"Less than lower secondary education, no. (%)",4166 (91.6),17862 (83.8),<0.001
"Urban residence, no. (%)",1540 (33.8),5631 (26.4),<0.001
"Agricultural hukou, no. (%)",3834 (84.3),9860 (46.2),<0.001
"Current smoker, no. (%)",1726 (37.9),5205 (24.4),<0.001
"Current drinker, no. (%)",1736 (38.2),5087 (23.9),<0.001
"BMI, kg/m2",23.6 ± 3.9,23.4 ± 3.9,0.007
"Combined hypertension, no. (%)",1295 (28.5),3488 (27.0),0.057
"Combined diabetes, no. (%)",308 (6.8),802 (6.2),0.207
"eGFRcr-cys 2011, mL/min/1.73 m2",85.7 ± 17.2,83.3 ± 18.9,<0.001
"eGFRcr-cys 2015, mL/min/1.73 m2",89.1 ± 18.4,96.2 ± 18.4,<0.001
